year,type,title,journal,publisher,authors,tags,sdg_tags,note,link,doi
2024,journal,The Impact of Integrated Nutrient Management on Trifolium alexandrinum Varietal Performance in the Indo-Gangetic Plains,Agronomy,MDPI,"Hindoriya PS, Kumar R, Bhattacharjee S, et al.","Nutrient Management|Fodder Crops|Agronomy","SDG 2|SDG 12|SDG 15",Compared berseem clover varieties under different nutrient management strategies in the Indo-Gangetic Plains — a key fodder crop region.,,
2024,journal,Coastal Ecosystem Services: Valuation Threats and Sustainable Way Forward,Journal of Agricultural Physics,,"Kumar P, Das B, Majik S, Bhattacharjee S","Ecosystem Services|Coastal Systems|Sustainability","SDG 13|SDG 14|SDG 15",Assessed and valued the ecosystem services provided by coastal regions and outlined threats and sustainability pathways.,,
2024,journal,Availability and seasonal dynamics of feed sources for Ladakhi cattle breed in the cold arid region of Ladakh,Biological Rhythm Research,Taylor & Francis,"Youdol T, Mishra AK, Bhattacharjee S, et al.","Livestock Feed|Climate Vulnerability|High-Altitude Agriculture","SDG 2|SDG 13|SDG 15",Studied seasonal feed availability for indigenous Ladakhi cattle — important for livestock management in climate-vulnerable high-altitude regions.,,
2024,journal,Nature-positive strategies for sustainable fodder production and management under changing climatic and soil environments,Journal of the Indian Society of Soil Science,,"Singh R, Bhattacharjee S, Kumar D, et al.","Fodder Production|Climate Change|Sustainability","SDG 2|SDG 13|SDG 15",Reviewed nature-positive approaches to fodder production under climate and soil change scenarios.,,
2024,journal,Sustainable Integrated Farming Systems for Coastal Regions of India,Indian Journal of Dryland Agricultural Research and Development,,"Kumar P, Paramesha V, Bhattacharjee S","Coastal Agriculture|Integrated Farming|Sustainability","SDG 2|SDG 13|SDG 14",Proposed integrated farming models suited to the specific challenges of India's coastal agricultural zones.,,
2024,journal,Enhancing growth yield and nutrient quality of fodder maize through foliar application of ortho silicic acid,Silicon,Springer Netherlands,"Biswal B, Kumar R, Bhattacharjee S, et al.","Fodder Maize|Nutrient Quality|Silicon","SDG 2|SDG 12|SDG 15",Demonstrated that foliar ortho silicic acid application improves both yield and nutritional quality of fodder maize.,,
2023,journal,How did research on conservation agriculture evolve over the years? A bibliometric analysis,Sustainability,MDPI,"Bhattacharjee S, Panja A, Panda M, Dutta S, et al.","Bibliometrics|Conservation Agriculture|Sustainability","SDG 2|SDG 13|SDG 15",Traced the global evolution of conservation agriculture research over decades using bibliometric methods — identifying hotspots key contributors and emerging themes.,https://doi.org/10.3390/su15032040,https://doi.org/10.3390/su15032040
2023,journal,Municipal solid waste compost: a comprehensive bibliometric data-driven review of 50 years of research,Environmental Science and Pollution Research,Springer,"Bhattacharjee S, Panja A, Kumar R, et al.","Bibliometrics|Composting|Waste Management","SDG 11|SDG 12|SDG 13",Synthesised 50 years of global research on MSW composting — mapping progress and identifying gaps for future research.,,
2023,journal,Energy budgeting and carbon footprints estimation of fodder maize varieties under different nutrient management practices,Agronomy,MDPI,"Kumar D, Singh M, Bhattacharjee S, et al.","Carbon Footprint|Fodder Maize|Energy Budget","SDG 2|SDG 12|SDG 13",Quantified the energy use and carbon footprint of different fodder maize production systems in the Indo-Gangetic Plains.,,
2023,journal,Assessing the effects of conservation tillage and in-situ crop residue management on crop yield and soil properties in rice-wheat cropping system,Sustainability,MDPI,"Leharwan M, Kumar Y, Bhattacharjee S, et al.","Conservation Tillage|Soil Health|Rice-Wheat System","SDG 2|SDG 13|SDG 15",Evaluated how conservation tillage and residue retention affect productivity and soil health in the dominant rice-wheat system.,,
2023,journal,Improvement of growth yield and soil fertility in wheat through tillage and nutrient management practices,Journal of Soil Science and Plant Nutrition,Springer,"Dutta S, Singh M, Bhattacharjee S, et al.","Wheat Yield|Soil Fertility|Tillage","SDG 2|SDG 12|SDG 15",Showed how optimised tillage and nutrient combinations can simultaneously improve wheat yields and soil fertility.,,
2023,journal,Scope of Horse Gram and Bambara Groundnut as Source of Food and Feed Legume: A Review,Legume Research: An International Journal,,"Biswal B, Kashyap S, Bhattacharjee S, et al.","Legumes|Dryland Agriculture|Food Security","SDG 2|SDG 3|SDG 15",Reviewed the potential of two underutilised legumes as food and fodder crops — relevant for diversifying dryland farming systems.,,
2022,journal,Grain characteristics proximate composition phytochemical capacity and mineral content of aromatic and non-aromatic rice accessions in North-East India,Applied Food Research,Elsevier,"Nath S, Bhattacharjee P, Bhattacharjee S, et al.","Rice Varieties|Nutritional Security|Phytochemicals","SDG 2|SDG 3|SDG 15",Characterised nutritional and phytochemical profiles of traditional North-East Indian rice varieties — valuable for nutritional security and germplasm conservation.,https://doi.org/10.1016/j.afres.2022.100067,https://doi.org/10.1016/j.afres.2022.100067
2022,journal,Effect of Potassium and Zinc Nutrition on Growth and Yield of Short Duration Maize under Dryland Vertisols,Indian Journal of Agricultural Research,,"Bhattacharjee S, Bhale VM, Kumar P, Kumar R","Maize|Nutrient Management|Dryland Agriculture","SDG 2|SDG 12|SDG 15",Quantified how potassium and zinc fertilisation affects maize growth and yield in the challenging dryland Vertisol conditions of central India.,,
2022,journal,Growth and yield performance of fodder oats grown under different nutrient management practices,Indian Journal of Agricultural Sciences,,"Kumar D, Singh M, Bhattacharjee S, et al.","Fodder Oats|Nutrient Management|Livestock Systems","SDG 2|SDG 12|SDG 15",Assessed nutrient management options to improve fodder oat productivity for livestock feeding systems.,,
2020,journal,Performance of Maize based on yield attributes nutrient uptake quality and economics under different zinc-based nutrient management regimes,Research Journal of Agriculture Science,,"Panda A, Bhattacharjee S, Bhale VM, et al.","Maize|Zinc Nutrition|Crop Economics","SDG 2|SDG 12|SDG 15",Evaluated zinc-based nutrient management regimes for optimising maize productivity and economic returns.,,
2020,journal,Influence of sulphur zinc and organic inorganic assorted customized fertilizer on yield and quality of cotton under rainfed vertisols,International Journal of Current Microbiology and Applied Sciences,,"Bairwa B, Katkar RN, Bhattacharjee S, et al.","Cotton|Sulphur Nutrition|Rainfed Agriculture","SDG 2|SDG 12|SDG 15",,,
2019,journal,A study on total pest population present in aman paddy at North Tripura,Journal of Entomology and Zoology Studies,,"Bhattacharjee P, Datta J, Nath S, Bhattacharjee S","Rice Pest|North-East India","SDG 2|SDG 3|SDG 15",,,
2019,journal,Effect of different nutrient management practices and zinc fertilization on growth and development stages of maize under dryland condition,International Journal of Current Microbiology and Applied Sciences,,"Panda A, Bhale VM, Bhattacharjee S, Kadam SR","Maize|Zinc Fertilization|Dryland Agriculture","SDG 2|SDG 12|SDG 15",,,
2019,journal,Effect of Potassium and Zinc Fertilization on Root Growth Parameters of Maize,Bhartiya Krishi Anusandhan Patrika,,"Bhattacharjee S, Bhale VM, Bhattacharjee P, Kadam S","Maize Root Growth|Potassium|Zinc","SDG 2|SDG 12|SDG 15",,,
2025,chapter,Integrated computational intelligence models to ensure food security withstanding climate change,High-Performance Automation Methods for Computational Intelligent Systems,CRC Press,"Majumder D, Bhattacharjee S, et al.","Food Security|Climate Change|Computational Intelligence","SDG 2|SDG 9|SDG 13",,,
2025,chapter,Sustainable Crop Production Using Plant Growth Promoting Rhizobacteria: A Green Technology,Smart Technologies in Sustainable Agriculture,Apple Academic Press,"Singh M, Kumar D, Bhattacharjee S, et al.","PGPR|Sustainable Agriculture|Green Technology","SDG 2|SDG 12|SDG 15",,,
2025,chapter,Advancing Food Science from Field to Fork: The Role of Nanobionics in Enhancing Safety Quality and Sustainability,Contemporary Suitability of Nanobionics in Agriculture,Springer Nature,"Ramani A, Rout P, Bhattacharjee S","Nanobionics|Food Safety|Sustainability","SDG 2|SDG 3|SDG 12",,,
2024,chapter,Amelioration of abiotic stresses in forage crop production using microbial stimulants: An overview,Microbial Biostimulants for Plant Growth and Abiotic Stress Amelioration,Elsevier,"Kashyap S, Bhattacharjee S, et al.","Abiotic Stress|Microbial Stimulants|Forage Crops","SDG 2|SDG 13|SDG 15",,,
2024,chapter,Exploring the synergy of microbes and plants for managing moisture stress in medicinal and aromatic crops,Microbial Biostimulants for Plant Growth and Abiotic Stress Amelioration,Elsevier,"Bhattacharjee P, Bhattacharjee S, et al.","Medicinal Crops|Moisture Stress|Microbial Synergy","SDG 3|SDG 13|SDG 15",,,
2024,chapter,The nexus between environmental damage poverty and climate change in hard-to-reach areas,Environmental Nexus for Resource Management,CRC Press,"Panja A, Bhattacharjee S, et al.","Climate Change|Environmental Nexus|Poverty","SDG 1|SDG 10|SDG 13",,,
2024,chapter,Advancing of biodynamic and natural farming in achieving sustainable development goals,Natural Farming: Basics and Application,,"Bhattacharjee S, Kumar R, et al.","Natural Farming|SDGs|Sustainability","SDG 2|SDG 12|SDG 15",,,
2023,chapter,Micro- and nanoparticle of chitosan for vitamin encapsulation: A nutshell overview,Nano-biofortification for human and environmental health,Springer,"Rout P, Ramani A, Bhattacharjee S","Nanotechnology|Biofortification|Nutrition","SDG 2|SDG 3|SDG 12",,,
